TransportTaxiBook,TransportTaxiBookType,TransportTaxiBookOrigin,TransportTaxiBookDestination,TransportTaxiBookTime,context_uber
I want to book a Lyft car to local train station,,,local train station,,
I want to book a ride on any service to local train station,,,local train station,,
I want to book a service of Uber to Austin downtown,Uber,,Austin downtown,,
I want to book an Uber ride to City Hall.,Uber,,City Hall,,
I want to book an Uber ride to the Harbor Bridge.,Uber,,Harbor Bridge,,
I want to book uber,uber,,,,
I want to go by Uber to Bath Road,Uber,,Bath Road,,
I want to go there,,,there,,
I want to go to my earlier location ,,,,,earlier
I want to go to my earlier ride ,,,,,earlier
I want to go to my earlier trip ,,,,,earlier
I want to go to my last location ,,,,,last
I want to go to my last ride ,,,,,last
I want to go to my last trip ,,,,,last
I want to go to my previous location ,,,,,previous
I want to go to my previous ride ,,,,,previous
I want to go to my previous trip ,,,,,previous
I want to schedule an Uber pickup.,Uber,,,,
I want to schedule an uber suv to pick me up from my location at 10pm,uber suv,my location,,10pm,
I want to schedule an uber suv to pick me up from the town bar at 10pm,uber suv,town bar,,10pm,
I want Uber to take me to work,Uber,,work,,
I will need a ride to the Quezon Memorial Circle,,,Quezon Memorial Circle,,
I would like to book a cab service,,,,,
I would like to book a Lyft driver to take me to SFO International departures.,,,SFO international departures,,
I would like to choose uber to take a commute,uber,,,,
I'd like to take a Lyft to the Empire State Building please.,,,Empire State Building,,
im at work and I need a lyft,,,work,,
In need an Uber to take me to work.,Uber,,work,,
kindly book a Ola cab for me to Lucknow city,,,Lucknow city,,
kindly I need to book a transport service from street 88,,street 88,,,
let us go there,,,there,,
let us go to my earlier location ,,,,,earlier
let us go to my earlier ride ,,,,,earlier
let us go to my earlier trip ,,,,,earlier
let us go to my last location ,,,,,last
let us go to my last ride ,,,,,last
let us go to my last trip ,,,,,last
let us go to my previous location ,,,,,previous
let us go to my previous ride ,,,,,previous
let us go to my previous trip ,,,,,previous
let's get there,,,there,,
let's get to my earlier location ,,,,,earlier
let's get to my earlier ride ,,,,,earlier
let's get to my earlier trip ,,,,,earlier
let's get to my last location ,,,,,last
let's get to my last ride ,,,,,last
let's get to my last trip ,,,,,last
let's get to my previous location ,,,,,previous
let's get to my previous ride ,,,,,previous
let's get to my previous trip ,,,,,previous
let's go there,,,there,,
let's go there,,,there,,
let's go there,,,there,,
let's go to my earlier location ,,,,,earlier
let's go to my earlier location ,,,,,earlier
let's go to my earlier ride ,,,,,earlier
let's go to my earlier ride ,,,,,earlier
let's go to my earlier trip ,,,,,earlier
let's go to my earlier trip ,,,,,earlier
let's go to my last location ,,,,,last
let's go to my last location ,,,,,last
let's go to my last ride ,,,,,last
let's go to my last ride ,,,,,last
let's go to my last trip ,,,,,last
let's go to my last trip ,,,,,last
let's go to my previous location ,,,,,previous
let's go to my previous location ,,,,,previous
let's go to my previous ride ,,,,,previous
let's go to my previous ride ,,,,,previous
let's go to my previous trip ,,,,,previous
let's go to my previous trip ,,,,,previous
Look for an Uber that can pick me up at State Street.,Uber,State Street,,,
Lyft to work,,,work,,
make a booking for car on uber to go to bus stand from my location,uber,my location,bus stand,,
Make a booking for Uber from here to 22 North Main avenue,Uber,here,22 North Main avenue,,
ok go there,,,there,,
open a uber cab service to go to MG Road,uber,,MG Road,,
open uber & book for MG Road,uber,,MG Road,,
Open Uber and set destination for the movies.,Uber,,Movies,,
Open Uber app and set up destination for home.,Uber,,home,,
Order a cab for me to reach the office.,,,Office,,
Order a taxi for me to reach the office.,,,Office,,
Order an Uber to take me to the Washington Monument.,Uber,,Washington Monument,,
Order Uber SUV at current location,Uber SUV,current location,,,
pick a cab from Uber Suv MG Road,Uber Suv,MG Road,,,
Please book a car for me on uber from my location to airport,uber,my location,airport,,
please book a car for uber suv on los angels?,uber suv,,los angels,,
please book an ola suv for oxford street,suv,,oxford street,,
Please book an uber home,uber,,home,,
Please book an uber SUV to pick me up at the corner 212th and Broadway for 2 pm today,uber SUV,212th and Broadway,,2 pm today,
Please book me an uber ride to the airport,uber,,airport,,
Please book me an UberXL to take me to the Wells Fargo Center.,UberXL,,Wells Fargo Center,,
please book my uber again with same details,,,,,again
please book my uber again,,,,,again
Please book the first one now,,,the first one,,
Please book the first one with Uber Pool,Uber Pool,,the first one,,
Please book the first one with UberGo,UberGo,,the first one,,
Please book the first one with UberX,UberX,,the first one,,
Please book the first one,,,the first one,,
Please book the last one now,,,the last one,,
Please book the last one with Uber Pool,Uber Pool,,the last one,,
Please book the last one with UberGo,UberGo,,the last one,,
Please book the last one with UberX,UberX,,the last one,,
Please book the second one now,,,the second one,,
Please book the second one with Uber Pool,Uber Pool,,the second one,,
Please book the second one with UberGo,UberGo,,the second one,,
Please book the second one with UberX,UberX,,the second one,,
Please book the second one,,,the second one,,
Please book the third one now,,,the third one,,
Please book the third one with Uber Pool,Uber Pool,,the third one,,
Please book the third one with UberGo,UberGo,,the third one,,
Please book the third one with UberX,UberX,,the third one,,
Please book the third one,,,the third one,,
Please book uber again,,,,,again
Please book uber for home..,uber,,home,,
Please book uber pool for Delhi.,uber pool,,Delhi,,
Please Book UberGo cab service Now at 156 High Street Santa Cruz,UberGo,,156 High Street Santa Cruz,,
Please book UberPool for Delhi.,UberPool,,Delhi,,
Please call Lyft and arrange pick up for me from Applebees,,Applebees,,,
please call uber to home,uber,,home,,
Please contact Uber to pick me up in front of the Starbucks on Capital Blvd and take me to Spring Forest Rd.,Uber,Starbucks on Capital Blvd,Spring Forest Rd,,
Please get me a lyft,,,,,
please get me an uber ride to 1552 south Madison avenue west,uber,,1552 south Madison avenue west,,
please get me an uber ride to 76  west main,uber,,76 west main,,
please get me an uber ride to 77 Massachusetts avenue,uber,,77 Massachusetts avenue,,
please get me an uber ride to 9872 Hudson avenue,uber,,9872 Hudson avenue,,
please get me an uber ride to Cambridge galleria,uber,,Cambridge galleria,,
please get me an uber ride to Harvard square,uber,,Harvard square,,
please get me an uber ride to lax,uber,,lax,,
please get me an uber ride to los angeles city hall,uber,,los angeles city hall,,
please get me an uber ride to melrose and vine,uber,,melrose and vine,,
please get me an uber ride to MIT,uber,,MIT,,
please get me an uber ride to my office,uber,,office,,
please get me an uber ride to Santa Monica city hall,uber,,Santa Monica city hall,,
please get me an uber ride to the courthouse,uber,,courthouse,,
Please get me an uber ride to the gas station.,uber,,gas station,,
please get me an uber ride to the hotel,uber,,hotel,,
please get me an uber ride to the spotted pig,uber,,spotted pig,,
Please get me the nearest Uber to go to work,Uber,,work,,
please get me there,,,there,,
please get me to my earlier location ,,,,,earlier
please get me to my earlier ride ,,,,,earlier
please get me to my earlier trip ,,,,,earlier
please get me to my last location ,,,,,last
please get me to my last ride ,,,,,last
please get me to my last trip ,,,,,last
please get me to my previous location ,,,,,previous
please get me to my previous ride ,,,,,previous
please get me to my previous trip ,,,,,previous
Please help me book a service of Uber to the White House,Uber,,White House,,
Please let me know if you book service for an Uber car when it will arrive so that I can go to Fort Lauderdale.,Uber,,Fort Lauderdale,,
Please order me a lyft to the mall,,,mall,,
Please schedule an Uber SUV to arrive outside of the adjacent bar.,Uber SUV,,bar,,
please take me there,,,there,,
please take me to my earlier location ,,,,,earlier
please take me to my earlier ride ,,,,,earlier
please take me to my earlier trip ,,,,,earlier
please take me to my last location ,,,,,last
please take me to my last ride ,,,,,last
please take me to my last trip ,,,,,last
please take me to my previous location ,,,,,previous
please take me to my previous ride ,,,,,previous
please take me to my previous trip ,,,,,previous
please take us there,,,there,,
please take us to my earlier location ,,,,,earlier
please take us to my earlier ride ,,,,,earlier
please take us to my earlier trip ,,,,,earlier
please take us to my last location ,,,,,last
please take us to my last ride ,,,,,last
please take us to my last trip ,,,,,last
please take us to my previous location ,,,,,previous
please take us to my previous ride ,,,,,previous
please take us to my previous trip ,,,,,previous
register a cab from Uber Suv MG Road,Uber Suv,,MG Road,,
request a car for 4,,,,,
request a ride on lyft to go to the Reinvention center,,,Reinvention center,,
Request and Uber to Bar Louie,Uber,,Bar Louie,,
Request to book Uber SUV to Delhi,Uber SUV,,Delhi,,
Request Uber pick up at Stan Hywet Hall for  Gardens in Akron.,Uber,Stan Hywet Hall,Gardens in Akron,,
Schedule a Lyft Line to pick me up at 7 pm and take me to FedEx Field,,,Fedex Field,7 PM,
schedule an uber pickup for dodger stadium at 4pm,uber,,dodger stadium,4pm,
schedule an uber pickup for lax at 7pm,uber,,lax,7pm,
schedule an uber pickup to bob hope airport at 1pm,uber,,bob hope airport,1pm,
schedule an uber pickup to Burbank airport at 4am,uber,,Burbank airport,4am,
schedule an uber pickup to Disney concert hall at 3pm,uber,,Disney concert hall,3pm,
schedule an uber pickup to dulles at 5pm,uber,,dulles,5pm,
schedule an uber pickup to john f Kennedy airport at 5am,uber,,john f Kennedy airport,5am,
schedule an uber pickup to Kennedy airport at 5pm tomorrow,uber,,Kennedy airport,5pm tomorrow,
schedule an uber pickup to la guardia at 2pm,uber,,la guardia,2pm,
schedule an uber pickup to lax at 5am tomorrow,uber,,lax,5am tomorrow,
schedule an uber pickup to lax tomorrow 5am,uber,,lax,5am,
schedule an uber pickup to long beach airport at 2am,uber,,long beach airport,2am,
schedule an uber pickup to midway at 1am,uber,,midway,1am,
schedule an uber pickup to Nobu at 6pm,uber,,Nobu,6pm,
schedule an uber pickup to Nobu Malbu at 5pm,uber,,Nobu Malbu,5pm,
schedule an uber pickup to O'Hare airport at 3am,uber,,O'Hare airport,3am,
schedule an uber pickup to Ontario airport at 6pm,uber,,Ontario airport,6pm,
schedule an uber pickup to signature creative at 6am,uber,,signature creative,6am,
schedule an uber pickup to the broad museum tonight 6pm,uber,,broad,6pm,
schedule an uber pickup to the grove at 5pm pickup,uber,,grove,5pm,
schedule an uber pickup to Venice beach for 6pm today,uber,,Venice beach,6pm,
schedule an uber pool for dodger stadium at 4pm,uber pool,,dodger stadium,4pm,
schedule an uber pool for lax at 7pm,uber pool,,lax,7pm,
schedule an uber pool to bob hope airport at 1pm,uber pool,,bob hope airport,1pm,
schedule an uber pool to Burbank airport at 4am,uber pool,,Burbank airport,4am,
schedule an uber pool to Disney concert hall at 3pm,uber pool,,Disney concert hall,3pm,
schedule an uber pool to dulles at 5pm,uber pool,,dulles,5pm,
schedule an uber pool to john f Kennedy airport at 5am,uber pool,,john f Kennedy airport,5am,
schedule an uber pool to Kennedy airport at 5pm tomorrow,uber pool,,Kennedy airport,5pm tomorrow,
schedule an uber pool to la guardia at 2pm,uber pool,,la guardia,2pm,
schedule an uber pool to lax at 5am tomorrow,uber pool,,lax,5am tomorrow,
schedule an uber pool to lax tomorrow 5am,uber pool,,lax,tomorrow 5am,
schedule an uber pool to long beach airport at 2am,uber pool,,long beach airport,2am,
schedule an uber pool to midway at 1am,uber pool,,midway,1am,
schedule an uber pool to Nobu at 6pm,uber pool,,Nobu,6pm,
schedule an uber pool to Nobu Malbu at 5pm,uber pool,,Nobu Malbu,5pm,
schedule an uber pool to O'Hare airport at 3am,uber pool,,O'Hare airport,3am,
schedule an uber pool to Ontario airport at 6pm,uber pool,,Ontario airport,6pm,
schedule an uber pool to signature creative at 6am,uber pool,,signature creative,6am,
schedule an uber pool to the broad museum tonight 6pm,uber pool,,broad,6pm,
schedule an uber pool to the grove at 5pm pickup,uber pool,,grove,5pm,
schedule an uber pool to Venice beach for 6pm today,uber pool,,Venice beach,6pm,
schedule an UberGo for dodger stadium at 4pm,UberGo,,dodger stadium,4pm,
schedule an UberGo for lax at 7pm,UberGo,,lax,7pm,
schedule an UberGo to bob hope airport at 1pm,UberGo,,bob hope airport,1pm,
schedule an UberGo to Burbank airport at 4am,UberGo,,Burbank airport,4am,
schedule an UberGo to Disney concert hall at 3pm,UberGo,,Disney concert hall,3pm,
schedule an UberGo to dulles at 5pm,UberGo,,dulles,5pm,
schedule an UberGo to john f Kennedy airport at 5am,UberGo,,john f Kennedy airport,5am,
schedule an UberGo to Kennedy airport at 5pm tomorrow,UberGo,,Kennedy airport,5pm tomorrow,
schedule an UberGo to la guardia at 2pm,UberGo,,la guardia,2pm,
schedule an UberGo to lax at 5am tomorrow,UberGo,,lax,5am tomorrow,
schedule an UberGo to lax tomorrow 5am,UberGo,,lax,tomorrow 5am,
schedule an UberGo to long beach airport at 2am,UberGo,,long beach airport,2am,
schedule an UberGo to midway at 1am,UberGo,,midway,1am,
schedule an UberGo to Nobu at 6pm,UberGo,,Nobu,6pm,
schedule an UberGo to Nobu Malbu at 5pm,UberGo,,Nobu Malbu,5pm,
schedule an UberGo to O'Hare airport at 3am,UberGo,,O'Hare airport,3am,
schedule an UberGo to Ontario airport at 6pm,UberGo,,Ontario airport,6pm,
schedule an UberGo to signature creative at 6am,UberGo,,signature creative,6am,
schedule an UberGo to the broad museum tonight 6pm,UberGo,,broad,6pm,
schedule an UberGo to the grove at 5pm pickup,UberGo,,grove,5pm,
schedule an UberGo to Venice beach for 6pm today,UberGo,,Venice beach,6pm,
schedule an UberPool for dodger stadium at 4pm,UberPool,,dodger stadium,4pm,
schedule an UberPool for lax at 7pm,UberPool,,lax,7pm,
schedule an UberPool to bob hope airport at 1pm,UberPool,,bob hope airport,1pm,
schedule an UberPool to Burbank airport at 4am,UberPool,,Burbank airport,4am,
schedule an UberPool to Disney concert hall at 3pm,UberPool,,Disney concert hall,3pm,
schedule an UberPool to dulles at 5pm,UberPool,,dulles,5pm,
schedule an UberPool to john f Kennedy airport at 5am,UberPool,,john f Kennedy airport,5am,
schedule an UberPool to Kennedy airport at 5pm tomorrow,UberPool,,Kennedy airport,5pm tomorrow,
schedule an UberPool to la guardia at 2pm,UberPool,,la guardia,2pm,
schedule an UberPool to lax at 5am tomorrow,UberPool,,lax,5am tomorrow,
schedule an UberPool to lax tomorrow 5am,UberPool,,lax,tomorrow 5am,
schedule an UberPool to long beach airport at 2am,UberPool,,long beach airport,2am,
schedule an UberPool to midway at 1am,UberPool,,midway,1am,
schedule an UberPool to Nobu at 6pm,UberPool,,Nobu,6pm,
schedule an UberPool to Nobu Malbu at 5pm,UberPool,,Nobu Malbu,5pm,
schedule an UberPool to O'Hare airport at 3am,UberPool,,O'Hare airport,3am,
schedule an UberPool to Ontario airport at 6pm,UberPool,,Ontario airport,6pm,
schedule an UberPool to signature creative at 6am,UberPool,,signature creative,6am,
schedule an UberPool to the broad museum tonight 6pm,UberPool,,broad,6pm,
schedule an UberPool to the grove at 5pm pickup,UberPool,,grove,5pm,
schedule an UberPool to Venice beach for 6pm today,UberPool,,Venice beach,6pm,
schedule an uberx for dodger stadium at 4pm,uberx,,dodger stadium,4pm,
schedule an uberx for lax at 7pm,uberx,,lax,7pm,
schedule an uberx to bob hope airport at 1pm,uberx,,bob hope airport,1pm,
schedule an uberx to Burbank airport at 4am,uberx,,Burbank airport,4am,
schedule an uberx to Disney concert hall at 3pm,uberx,,Disney concert hall,3pm,
schedule an uberx to dulles at 5pm,uberx,,dulles,5pm,
schedule an uberx to john f Kennedy airport at 5am,uberx,,john f Kennedy airport,5am,
schedule an uberx to Kennedy airport at 5pm tomorrow,uberx,,Kennedy airport,5pm tomorrow,
schedule an uberx to la guardia at 2pm,uberx,,la guardia,2pm,
schedule an uberx to lax at 5am tomorrow,uberx,,lax,5am tomorrow,
schedule an uberx to lax tomorrow 5am,uberx,,lax,tomorrow 5am,
schedule an uberx to long beach airport at 2am,uberx,,long beach airport,2am,
schedule an uberx to midway at 1am,uberx,,midway,1am,
schedule an uberx to Nobu at 6pm,uberx,,Nobu,6pm,
schedule an uberx to Nobu Malbu at 5pm,uberx,,Nobu Malbu,5pm,
schedule an uberx to O'Hare airport at 3am,uberx,,O'Hare airport,3am,
schedule an uberx to Ontario airport at 6pm,uberx,,Ontario airport,6pm,
schedule an uberx to signature creative at 6am,uberx,,signature creative,6am,
schedule an uberx to the broad museum tonight 6pm,uberx,,broad,6pm,
schedule an uberx to the grove at 5pm pickup,uberx,,grove,5pm,
schedule an uberx to Venice beach for 6pm today,uberx,,Venice beach,6pm,
Schedule lyft line to central park,,,To central park,,
Schedule Uber service,Uber,,,,
Schedule Uber to visit city hall in Philadelphia,Uber,,City hall in Philadelphia,,
Send an Uber to my location.,Uber,,My location,,
Send me a Lyft Plus to carry me to Central Park?,,,Central Park,,
Send me a Lyft to the Vols stadium when the game ends,,,Vols stadium,,
Send me an uber to Neyland Stadium,uber,,Neyland Stadium,,
Set up an Uber to get me to Walmart.,Uber,,Walmart,,
Set up Uber to pick me up as soon as possible at Barry's,Uber,Barry's,,,
take an uber there,uber,,there,,
take an uber there,uber,,there,,
Take me back now,,,,,back
Take me back,,,,,back
Take me home by a reliable cab service,,,home,,
take me there via uber,uber,,there,,
take me there,,,there,,
take me there,,,there,,
take me there,,,there,,
take me there,,,there,,
take me there,,,there,,
take me there,,,there,,
take me to downtown uber,uber,,downtown,,
take me to my destination again with same details,,,,,again
take me to my destination again,,,,,again
take me to my earlier location ,,,,,earlier
take me to my earlier location ,,,,,earlier
take me to my earlier location ,,,,,earlier
take me to my earlier location,,,,,earlier
take me to my earlier ride ,,,,,earlier
take me to my earlier ride ,,,,,earlier
take me to my earlier ride ,,,,,earlier
take me to my earlier ride,,,,,earlier
take me to my earlier trip ,,,,,earlier
take me to my earlier trip ,,,,,earlier
take me to my earlier trip ,,,,,earlier
take me to my earlier trip,,,,,earlier
take me to my last location ,,,,,last
take me to my last location ,,,,,last
take me to my last location ,,,,,last
take me to my last location,,,,,last
take me to my last ride ,,,,,last
take me to my last ride ,,,,,last
take me to my last ride ,,,,,last
take me to my last ride,,,,,last
take me to my last trip ,,,,,last
take me to my last trip ,,,,,last
take me to my last trip ,,,,,last
take me to my last trip,,,,,last
take me to my previous location ,,,,,previous
take me to my previous location ,,,,,previous
take me to my previous location ,,,,,previous
take me to my previous location,,,,,previous
take me to my previous ride ,,,,,previous
take me to my previous ride ,,,,,previous
take me to my previous ride ,,,,,previous
take me to my previous ride,,,,,previous
take me to my previous trip ,,,,,previous
take me to my previous trip ,,,,,previous
take me to my previous trip ,,,,,previous
take me to my previous trip,,,,,previous
take me to that one via uber,uber,,that one,,
take me to that place via uber,uber,,that place,,
take me to that restaurant via uber,uber,,that restaurant,,
take me to that updated location via uber,uber,,that,,
take me to that venue via uber,uber,,that venue,,
Take me to the Eiffel Tower using Uber,Uber,,Eiffel Tower,,
take me to the first one via uber,uber,,the first one,,
take me to the last one via uber,uber,,the last one,,
take me to the second one via uber,uber,,the second one,,
take me to this updated location via uber,uber,,this,,
take us there,,,there,,
take us there,,,there,,
take us there,,,there,,
take us to my earlier location ,,,,,earlier
take us to my earlier location ,,,,,earlier
take us to my earlier ride ,,,,,earlier
take us to my earlier ride ,,,,,earlier
take us to my earlier trip ,,,,,earlier
take us to my earlier trip ,,,,,earlier
take us to my last location ,,,,,last
take us to my last location ,,,,,last
take us to my last ride ,,,,,last
take us to my last ride ,,,,,last
take us to my last trip ,,,,,last
take us to my last trip ,,,,,last
take us to my previous location ,,,,,previous
take us to my previous location ,,,,,previous
take us to my previous ride ,,,,,previous
take us to my previous ride ,,,,,previous
take us to my previous trip ,,,,,previous
take us to my previous trip ,,,,,previous
Taxi service on downtown Edmonton,,,downtown Edmonton,,
Taxi!,,,,,
Uber  me to Times Square,Uber,,Times Square,,
Uber booking,Uber,,,,
uber car booking NY 10005,uber,,NY 10005,,
Uber car rental destination the wall street inn new York,Uber,,wall street inn new York,,
uber drop off at  Pizza Luce for now,uber,,Pizza Luce,,
uber home,uber,,home,,
Uber home,Uber,,home,,
Uber I need to book a limo service for fifth and Broadway in one hour,Uber,,fifth and Broadway in one hour,,
Uber I need to book limo service at fifth and Broadway,Uber,,fifth and Broadway,,
Uber me home,Uber,,home,,
uber me there,uber,,there,,
Uber me to 11 park lane,Uber,,11 park lane,,
Uber me to 123 abc street,Uber,,123 abc street,,
Uber me to 22 hollis park,Uber,,22 hollis park,,
Uber me to 44 and time square,Uber,,44 and time square,,
Uber me to 654 Chicago ave,Uber,,654 Chicago ave,,
Uber me to 654 school street,Uber,,654 school street,,
Uber me to 765 pine street,Uber,,765 pine street,,
Uber me to 7653 Morris town,Uber,,7653 Morris town,,
Uber me to 77 mass ave,Uber,,77 mass ave,,
Uber me to 908 Anderson drive,Uber,,908 Anderson drive,,
Uber me to 908 Tyler ave,Uber,,908 Tyler ave,,
Uber me to airport,Uber,,airport,,
Uber me to atelier crenn,Uber,,atelier crenn,,
Uber me to big ben,Uber,,big ben,,
Uber me to Broadway and 76,Uber,,Broadway and 76,,
Uber me to Chiltern firehouse,Uber,,Chiltern firehouse,,
Uber me to el matador beach,Uber,,el matador beach,,
Uber me to Hollywood sign,Uber,,Hollywood sign,,
Uber me to home,Uber,,home,,
Uber me to hospital,Uber,,hospital,,
Uber me to Kensington park,Uber,,Kensington park,,
Uber me to main street,Uber,,main street,,
Uber me to mall of America,Uber,,mall of America,,
Uber me to Miami beach,Uber,,Miami beach,,
Uber me to my favorite restaurant,Uber,,favorite restaurant,,
Uber me to my house.,Uber,,My house,,
Uber me to Nobu,Uber,,Nobu,,
Uber me to Starbucks,Uber,,Starbucks,,
uber me to that one,uber,,that one,,
uber me to that place,uber,,that place,,
uber me to that restaurant,uber,,that restaurant,,
uber me to that updated location,uber,,that,,
uber me to that venue,uber,,that venue,,
uber me to that,uber,,that,,
Uber me to the beach,Uber,,beach,,
uber me to the first one,uber,,the first one,,
Uber me to the high line,Uber,,high line,,
uber me to the last one,uber,,the last one,,
Uber me to the McCormick convention center,Uber,,McCormick convention center,,
Uber me to the nearest gas station,Uber,,nearest gas station,,
Uber me to the office,Uber,,office,,
Uber me to the park,Uber,,park,,
Uber me to the ritz,Uber,,ritz,,
uber me to the second one,uber,,the second one,,
Uber me to the space museum,Uber,,space museum,,
Uber me to the train station,Uber,,train station,,
Uber me to the us mall,Uber,,us mall,,
Uber me to The White House,Uber,,White House,,
Uber me to the zoo,Uber,,zoo,,
uber me to this updated location,uber,,this,,
uber me to this,uber,,this,,
Uber me to union square,Uber,,union square,,
Uber me to union station,Uber,,union station,,
Uber me to united center,Uber,,united center,,
Uber me to water tower,Uber,,water tower,,
Uber me to west Hollywood,Uber,,west Hollywood,,
Uber me to work,Uber,,work,,
Uber ride to Shallotte NC.,Uber,,Shallotte NC,,
Uber take me to world trade center Colombo 01,Uber,,world trade center Colombo 01,,
uber there,uber,,there,,
uber to 58 park avenue,uber,,58 park avenue,,
uber to 6 central park west,uber,,6 central park west,,
uber to 6 park lane,uber,,6 park lane,,
uber to 625 Matthews street,uber,,625 Matthews street,,
uber to 666 harris lane,uber,,666 harris lane,,
uber to 73664 gains st,uber,,73664 gains st,,
uber to hillstone steakshouse,uber,,hillstone steakshouse,,
uber to my earlier location ,uber,,,,earlier
uber to my earlier ride ,uber,,,,earlier
uber to my earlier trip ,uber,,,,earlier
uber to my last location ,uber,,,,last
uber to my last ride ,uber,,,,last
uber to my last trip ,uber,,,,last
uber to my previous location ,uber,,,,previous
uber to my previous ride ,uber,,,,previous
uber to my previous trip ,uber,,,,previous
uber to my two cents,uber,,my two cents,,
uber to Nobu,uber,,Nobu,,
uber to Roosevelt high school,uber,,Roosevelt high school,,
uber to roscoe's,uber,,roscoe's,,
uber to Santa Monica pier,uber,,Santa Monica pier,,
uber to shake shack,uber,,shake shack,,
uber to Sheridan elementary,uber,,Sheridan elementary,,
uber to Starbucks,uber,,Starbucks,,
uber to the airport,uber,,airport,,
uber to the grove,uber,,grove,,
uber to the office,uber,,office,,
uber to variety boys and girls club,uber,,variety boys and girls club,,
uber to viper room,uber,,viper room,,
uber to waffle house,uber,,waffle house,,
uber to work,uber,,work,,
Uber,Uber,,,,
Use Uber to go to the Eiffel Tower,Uber,,Eiffel Tower,,
Uber Pick me from 432 S curson avenue and drop me at LAX airport,Uber,432 S curson avenue,LAX airport,,
Uber Pick me up from 72 W curson Street and drop me at LAX airport,Uber,72 W curson Street,LAX airport,,
UberX Pick me up from 670 Sunset W Blvd and drop me at Universal Studios,UberX,670 Sunset W Blvd,Universal Studios,,
