MusicPlayResponse,MusicPlayAlbumArtistSong,MusicPlaySongAlbum,MusicPlayAlbumArtist,MusicPlaySong,MusicPlayArtist,MusicPlayAlbum,MusicPlayEra,MusicPlayGenre,MusicPlayMood,MusicPlayCollection,MusicPlayKeyword,MusicPlayNew,MusicPlaySimilar
play shut up and dance by walk the moon,,shut up and dance ,,,walk the moon,,,,,,,,
play breezeblocks by alt-j,,breezeblocks,,,alt-j,,,,,,,,
play you're nobody til somebody kills you by the notorious b.i.g.,,you're nobody til somebody kills you,,,the notorious b.i.g.,,,,,,,,
play hold me thrill me kiss me kill me by u2,,hold me thrill me kiss me kill me,,,u2,,,,,,,,
play where the streets have no name by u2,,where the streets have no name,,,u2,,,,,,,,
play fell from the moon by 3 doors down,,fell from the moon,,,3 doors down,,,,,,,,
play c-h-e-m-i-c-a-l by the chemical brothers,,c-h-e-m-i-c-a-l,,,the chemical brothers,,,,,,,,
play no woman no cry by bob marley & the wailers,,no woman no cry,,,bob marley & the wailers,,,,,,,,
play smells like teen spirit by nirvana,,smells like teen spirit,,,nirvana,,,,,,,,
play born to make you happy by britney spears,,born to make you happy,,,britney spears,,,,,,,,
play here with me by dido,,here with me,,,dido,,,,,,,,
play never gonna leave this bed by maroon 5,,never gonna leave this bed,,,maroon 5,,,,,,,,
play atliens by outkast,,atliens,,,outkast,,,,,,,,
play jupiter 4c by the human league,,jupiter 4c,,,the human league,,,,,,,,
play does anyone here understand my girlfriend by crowded house,,does anyone here understand my girlfriend,,,crowded house,,,,,,,,
play put my t-shirt on by r kelly,,put my t-shirt on,,,r kelly,,,,,,,,
play welcome to the jungle by guns n roses,,welcome to the jungle,,,guns n roses,,,,,,,,
play rock wit u with alicia keys,,rock wit u,,,alicia keys,,,,,,,,
play welcome to the black parade by my chemical romance,,welcome to the black parade,,,my chemical romance,,,,,,,,
play king by t.i.,,king,,,t.i.,,,,,,,,
play good morning by will.i.am,,good morning,,,will.i.am,,,,,,,,
play back and forth by b.o.b.,,back and forth,,,b.o.b.,,,,,,,,
play strobe by deadmau5,,strobe,,,deadmau5,,,,,,,,
play dna by future,,dna,,,future,,,,,,,,
play 3 by the script,,3,,,the script,,,,,,,,
play 4 by beyonce,,4,,,beyonce,,,,,,,,
play 10 by new kids on the block,,10,,,new kids on the block,,,,,,,,
play 20 by tlc,,20,,,tlc,,,,,,,,
play 100 by kb,,100,,,kb,,,,,,,,
play 55 by the knocks,,55,,,the knocks,,,,,,,,
play 747 by lady antebellum,,747,,,lady antebellum,,,,,,,,
play 1984 by van halen,,1984,,,van halen,,,,,,,,
play 1992 by game,,1992,,,game,,,,,,,,
play 1999 by prince,,1999,,,prince,,,,,,,,
play 1989 by taylor swift,,1989,,,taylor swift,,,,,,,,
play 8701 by usher,,8701,,,usher,,,,,,,,
play 0 to 100 the catch up by drake,,0 to 100 the catch up,,,drake,,,,,,,,
play 000000 ffffff by the neighbourhood,,000000 ffffff,,,the neighbourhood,,,,,,,,
play 1 outside by david bowie,,1 outside,,,david bowie,,,,,,,,
play 1000 forms of fear by sia,,1000 forms of fear,,,sia,,,,,,,,
play 100x by tegan and sara,,100x,,,tegan and sara,,,,,,,,
play 12 x 5 by the rolling stones,,12 x 5,,,the rolling stones,,,,,,,,
play 18 months by calvin harris,,18 months,,,calvin harris,,,,,,,,
play 24 hrs by olly murs,,24 hrs,,,olly murs,,,,,,,,
play 2pacalypse now by tupac,,2pacalypse now,,,tupac,,,,,,,,
play 3 doors down by 3 doors down,,3 doors down,,,3 doors down,,,,,,,,
play 3001 a laced odyssey by flatbush zombies,,3001 a laced odyssey,,,flatbush zombies,,,,,,,,
play 4ever by prince,,4ever,,,prince,,,,,,,,
play 52nd street by billy joel,,52nd street,,,billy joel,,,,,,,,
play 808s & heartbreak by kanye west,,808s & heartbreak,,,kanye west,,,,,,,,
play a.k.a. by jennifer lopez,,a.k.a.,,,jennifer lopez,,,,,,,,
play a.m. by chris young,,a.m.,,,chris young,,,,,,,,
play abba gold by abba,,abba gold,,,abba,,,,,,,,
play all i ever wanted by kelly clarkson,,all i ever wanted,,,kelly clarkson,,,,,,,,
play back 2 life by sean kingston,,back 2 life,,,sean kingston,,,,,,,,
play back in black by ac/dc,,back in black,,,ac/dc,,,,,,,,
play b'day by beyonce,,b'day,,,beyonce,,,,,,,,
play beyonce by beyonce,,beyonce,,,beyonce,,,,,,,,
play birdy by birdy,,birdy,,,birdy,,,,,,,,
play black holes and revelations by muse,,black holes and revelations,,,muse,,,,,,,,
play black messiah by d'angelo and the vanguard,,black messiah,,,d'angelo and the vanguard,,,,,,,,
play blood sugar sex magik by red hot chili peppers,,blood sugar sex magik,,,red hot chili peppers,,,,,,,,
play body 2 body by dragonette,,body 2 body ,,,dragonette,,,,,,,,
play born in the u.s.a. by bruce springsteen,,born in the u.s.a.,,,bruce springsteen,,,,,,,,
play campaign by ty dolla $ign,,campaign,,,ty dolla $ign,,,,,,,,
play young the giant's amerika,,amerika,,,young the giant,,,,,,,,
play beautiful life 2 mine from trip lee,,beautiful life 2 mine,trip lee,,,,,,,,,,
play leon bridges better man,,better man,,,leon bridges,,,,,,,,
let's hear bz20 by boyzone,,bz20,,,boyzone,,,,,,,,
I wanna hear clarity by zedd,,clarity,,,zedd,,,,,,,,
I want to listen to coffee by miguel,,coffee,,,miguel,,,,,,,,
play dance with me tonight from olly murs,,dance with me tonight,olly murs,,,,,,,,,,
can you play me el perdedor by maluma,,el perdedor,,,maluma,,,,,,,,
put on hey soul sister by train,,hey soul sister,,,train,,,,,,,,
let's hear i can't help falling in love with you by ub40,,i can't help falling in love with you,,,ub40,,,,,,,,
can you play i want it that way by nkotbsb,,i want it that way,,,nkotbsb,,,,,,,,
play in for the kill by the artist la roux,,in for the kill,,,la roux,,,,,,,,
Please play Piano Man by Billy joel,,Piano Man,,,Billy Joel,,,,,,,,
put on planet rock by afrika bambaataa & the soulsonic force,,planet rock,,,afrika bambaataa & the soulsonic force,,,,,,,,
play beartooth's sick and disgusting,,sick and disgusting,,,beartooth,,,,,,,,
play black stone cherry's soul machine,,soul machine,,,black stone cherry,,,,,,,,
play hozier's take me to church,,take me to church,,,hozier,,,,,,,,
play alice in chains tears,,tears,,,alice in chains,,,,,,,,
play rihanna work,,work,,,rihanna,,,,,,,,
I'd like hear the greatest hits by inxs,,the greatest hits,,,inxs,,,,,,,,
I'd like to hear thinkin bout you by frank ocean,,thinkin bout you,,,frank ocean,,,,,,,,
play what i like about you by the band 5 seconds of summer,,what i like about you,,,5 seconds of summer,,,,,,,,
put on some who's laughing now by jessie j,,who's laughing now,,,jessie j,,,,,,,,
put on x by jason derulo,,x,,,jason derulo,,,,,,,,
start playing you are the sunshine of my life by new york jazz lounge,,you are the sunshine of my life,,,new york jazz lounge,,,,,,,,
play alex sierra's you're the one that i want,,you're the one that i want,,,alex sierra,,,,,,,,
play the new jason isbell album,,,,,jason isbell,,,,,,,new,
play the new 112 album,,,,,112,,,,,,,new,
play the new adam brand and the outlaws album,,,,,adam brand and the outlaws,,,,,,,new,
play the new 2 live crew album,,,,,2 live crew,,,,,,,new,
play the new aaron carter album,,,,,aaron carter,,,,,,,new,
play the new air album,,,,,air,,,,,,,new,
play the new ali g album,,,,,ali g,,,,,,,new,
play the new all-4-one album,,,,,all-4-one,,,,,,,new,
play the new amy winehouse song,,,,,amy winehouse,,,,,,,new,
play the new architecture in helsinki song,,,,,architecture in helsinki,,,,,,,new,
play the new katrina and the waves song,,,,,katrina and the waves,,,,,,,new,
play the new kiss song,,,,,kiss,,,,,,,new,
play the new blur album,,,,,blur,,,,,,,new,
play the new gorillaz album,,,,,gorillaz,,,,,,,new,
play the new afrojack song,,,,,afrojack,,,,,,,new,
play the new music by tove lo,,,,,tove lo,,,,,,,new,
play the latest stephen marley album,,,,,stephen marley,,,,,,,latest ,
play the latest pantera album,,,,,pantera,,,,,,,latest ,
play the latest silversun pickups album,,,,,silversun pickups,,,,,,,latest ,
play the latest tool album,,,,,tool,,,,,,,latest ,
play the latest grizzly bear album,,,,,grizzly bear,,,,,,,latest ,
play the latest half man half biscuit album,,,,,half man half biscuit,,,,,,,latest ,
play the latest boogie down productions album,,,,,boogie down productions,,,,,,,latest,
play the latest flume album,,,,,flume,,,,,,,latest ,
play the latest from avicii,,,,,avicii,,,,,,,latest,
play the latest of busta rhymes,,,,,busta rhymes,,,,,,,latest ,
play the latest paloma faith single,,,,,paloma faith,,,,,,,latest,
play the latest single from remy ma,,,,,remy ma,,,,,,,latest,
can you put on music by A Tribe Called Quest,,,,,A Tribe Called Quest,,,,,,,,
what songs by amy winehouse do you have,,,,,amy winehouse,,,,,,,,
do you have beyonce's songs,,,,,beyonce,,,,,,,,
let's listen to cardi b's music,,,,,cardi b,,,,,,,,
give me the hits by destiny's child,,,,,destiny's child,,,,,,,,
i want hit music by drake,,,,,drake,,,,,,,,
put on her hits,,,,,her,,,,,,,,
what songs of his do you have,,,,,his,,,,,,,,
what songs by jay-z do you have,,,,,jay-z,,,,,,,,
give me music by john legend,,,,,john legend,,,,,,,,
put on the hits by kodak black,,,,,kodak black,,,,,,,,
I need to hear some songs by Led Zeppelin,,,,,Led Zeppelin,,,,,,,,
do you have madonna's catalog,,,,,madonna,,,,,,,,
do you have music by one direction,,,,,one direction,,,,,,,,
do you have all of prince's music,,,,,prince,,,,,,,,
do you have prince's songs,,,,,prince,,,,,,,,
i want the hits by rihanna,,,,,rihanna,,,,,,,,
do you have songs by slick rick,,,,,slick rick,,,,,,,,
do you have any taylor swift songs,,,,,taylor swift,,,,,,,,
what music by them do you have,,,,,them,,,,,,,,
give me some beats by Tiesto,,,,,Tiesto,,,,,,,,
do you have will.i.am songs,,,,,will.i.am,,,,,,,,
have you got nina simone's top songs ,,,,,nina simone,,,,,,,,
do you have whitney houston's songs,,,,,whitney houston,,,,,,,,
can you play me their hits,,,,,their,,,,,,,,
can you play me his hits,,,,,his,,,,,,,,
could you play their hits,,,,,their,,,,,,,,
put on his hit songs,,,,,his,,,,,,,,
play some of outkast's hits,,,,,outkast,,,,,,,,
play some jams by michael jackson,,,,,michael jackson,,,,,,,,
play some tunes by rae sremmurd,,,,,rae sremmurd,,,,,,,,
play some of wu-tang clan's jams,,,,,wu-tang clan,,,,,,,,
have you got any nick jonas songs ,,,,,nick jonas,,,,,,,,
find me songs by imagine dragons,,,,,imagine dragons,,,,,,,,
find me top songs by cardi b,,,,,cardi b,,,,,,,,
do you have any of lady gaga's hits,,,,,lady gaga,,,,,,,,
what songs by p!nk do you have,,,,,p!nk,,,,,,,,
have you got any of kelly clarkson's songs,,,,,kelly clarkson,,,,,,,,
put on hits by dj snake,,,,,dj snake,,,,,,,,
play the hits by calvin harris,,,,,calvin harris,,,,,,,,
I want to hear the hits by harry styles,,,,,harry styles,,,,,,,,
I want to hear top songs by gwen stefani,,,,,gwen stefani,,,,,,,,
I feel like listening to top songs by kanye west,,,,,kanye west,,,,,,,,
I wanna hear rihanna's top songs,,,,,rihanna,,,,,,,,
I want to hear g-eazy's top songs,,,,,g-eazy,,,,,,,,
do you have frank ocean's latest album,,,,,frank ocean,,,,,,,latest,
i want her latest song,,,,,her,,,,,,,latest,
i'd like to hear her latest song,,,,,her,,,,,,,latest,
spin the latest solange album,,,,,solange,,,,,,,latest,
put on their latest hit,,,,,their,,,,,,,latest,
what's the latest jams,,,,,,,,,,,,latest,
I want A$AP Rocky's new album,,,,,A$AP Rocky,,,,,,,new,
I want new music by Daft Punk,,,,,Daft Punk,,,,,,,new,
i wanna listen to drake's new album,,,,,drake,,,,,,,new,
do you have the new song from eminem,,,,,eminem,,,,,,,new,
put on her new album,,,,,her,,,,,,,new,
what's her hottest new music,,,,,her,,,,,,,new,
what new stuff do you have by her,,,,,her,,,,,,,new,
can I hear his new stuff?,,,,,his,,,,,,,new,
put on lady gaga's new album,,,,,lady gaga,,,,,,,new,
let's hear the new post malone album,,,,,post malone,,,,,,,new,
what is taylor swift's new song,,,,,taylor swift,,,,,,,new,
do you have taylor swift's new album,,,,,taylor swift,,,,,,,new,
do you have the new one by taylor swift,,,,,taylor swift,,,,,,,new,
i want to hear new songs,,,,,,,,,,,,new,
drop the illest new beats,,,,,,,,,,,,new,
I’ve got to hear the newest Chris Brown song,,,,,Chris Brown,,,,,,,newest,
I've got to hear the newest Jay Z album,,,,,Jay Z,,,,,,,newest,
I have to hear the newest Nicki Minaj song,,,,,Nicki Minaj,,,,,,,newest,
i want to hear her most recent stuff,,,,,her,,,,,,,recent,
i want to listen to breakup songs,,,,,,,,,,,breakup,,
what's some good calorie burn songs,,,,,,,,,,,calorie burn,,
can we listen to some celebration music,,,,,,,,,,,celebration,,
can you put on Christmas music?,,,,,,,,,,,Christmas,,
I need music to drive to,,,,,,,,,,,drive,,
i need some music to focus,,,,,,,,,,,focus,,
i want to hear some fun music,,,,,,,,,,,fun,,
what songs are good for getting lit,,,,,,,,,,,getting lit,,
put on going out music,,,,,,,,,,,going out,,
can you put on some holiday tunes,,,,,,,,,,,holiday,,
can you put on some holiday songs?,,,,,,,,,,,holiday,,
what songs are hot right now,,,,,,,,,,,hot,,
do you have kickboxing music,,,,,,,,,,,kickboxing,,
i want to hear motivation music,,,,,,,,,,,motivation,,
put on party music,,,,,,,,,,,party,,
what songs are popular right now,,,,,,,,,,,popular,,
put on something to pregame to,,,,,,,,,,,pregame,,
put on music for pregaming,,,,,,,,,,,pregaming,,
put on something for pre-gaming,,,,,,,,,,,pre-gaming,,
put on good music for pre-gaming,,,,,,,,,,,pre-gaming,,
Do you have rainy day music?,,,,,,,,,,,rainy day,,
Do you have rave music?,,,,,,,,,,,rave,,
what are some good roadtrip songs,,,,,,,,,,,roadtrip,,
do you have any music for running,,,,,,,,,,,running,,
tell me what songs are good for running,,,,,,,,,,,running,,
do you have any music for the beach,,,,,,,,,,,beach,,
put on some throwbacks,,,,,,,,,,,throwbacks,,
Put on today's top hits,,,,,,,,,,,today's top hits,,
I want to hear today's top hits,,,,,,,,,,,today's top hits,,
What's good for today's top music,,,,,,,,,,,today's top music,,
What's good in today's top music,,,,,,,,,,,today's top music,,
Spin the top hits,,,,,,,,,,,top hits,,
what music is good for twerking,,,,,,,,,,,twerking,,
what songs do you have for valentine's day,,,,,,,,,,,valentine's day,,
i need some wakeup music,,,,,,,,,,,wakeup,,
have you got any music for working out,,,,,,,,,,,working out,,
do you have any good workout songs,,,,,,,,,,,workout,,
have you got any songs for a workout,,,,,,,,,,,workout,,
what songs are good to workout to,,,,,,,,,,,workout,,
what workout songs do you have,,,,,,,,,,,workout,,
i need some good workout music,,,,,,,,,,,workout,,
give me some good workout tunes,,,,,,,,,,,workout,,
do you have any workout music,,,,,,,,,,,workout,,
play the billboard hot 100,,,,,,,,,,,billboard,,
play the billboard top 100,,,,,,,,,,,billboard,,
play billboard top 100,,,,,,,,,,,billboard,,
play billboard hot 100,,,,,,,,,,,billboard,,
play top billboard songs,,,,,,,,,,,billboard,,
play the top billboard hits,,,,,,,,,,,billboard,,
play the billboard top charts,,,,,,,,,,,billboard,,
play some billbaord top hits,,,,,,,,,,,billboard,,
play the billboard trending songs,,,,,,,,,,,billboard,,
play songs on the billboard charts,,,,,,,,,,,billboard,,
play songs on the billboard top 100,,,,,,,,,,,billboard,,
play songs on the billboard 100,,,,,,,,,,,billboard,,
play the top 10 billboard hits,,,,,,,,,,,billboard,,
can you play the top songs from the billboard charts,,,,,,,,,,,billboard,,
play the billboard top songs,,,,,,,,,,,billboard,,
play top songs from billboard hot 100,,,,,,,,,,,billboard,,
play music from the billboard charts,,,,,,,,,,,billboard,,
play something from the billboard charts,,,,,,,,,,,billboard,,
play music for running,,,,,,,,,,,running,,
play music for focusing,,,,,,,,,,,focusing,,
play music for doing chores,,,,,,,,,,,doing chores,,
play music for a power workout,,,,,,,,,,,power workout,,
play music for the gym,,,,,,,,,,,gym,,
play music for my morning commute,,,,,,,,,,,morning commute,,
play music for camping,,,,,,,,,,,camping,,
play music for roadtripping,,,,,,,,,,,roadtripping,,
play some music for a cross country road trip,,,,,,,,,,,cross country road trip,,
play some music for yoga ,,,,,,,,,,,yoga,,
play some music for meditation,,,,,,,,,,,meditation,,
play some music for a meditation session,,,,,,,,,,,meditation,,
play some music for the holidays,,,,,,,,,,,holidays,,
play some music for christmas,,,,,,,,,,,christmas,,
play some music for halloween,,,,,,,,,,,halloween,,
play music for studying to,,,,,,,,,,,studying,,
play music for focusing to,,,,,,,,,,,focusing,,
play music for me to study to,,,,,,,,,,,study,,
play music for programming to,,,,,,,,,,,programming,,
play music for me to meditate to,,,,,,,,,,,meditate,,
play music for me to drive to,,,,,,,,,,,drive,,
play music for singing in the shower,,,,,,,,,,,singing in the shower,,
play music for a brunch,,,,,,,,,,,brunch,,
play music for brunch,,,,,,,,,,,brunch,,
play music for waking up to,,,,,,,,,,,waking up,,
play music for falling asleep to,,,,,,,,,,,falling asleep,,
play music for a jog,,,,,,,,,,,jog,,
play music for my jog,,,,,,,,,,,jog,,
play music for a houseparty,,,,,,,,,,,houseparty,,
play music for thanksgiving,,,,,,,,,,,thanksgiving,,
play songs for pool party,,,,,,,,,,,pool party,,
play songs to twerk to,,,,,,,,,,,twerk,,
play songs to tap dance to,,,,,,,,,,,tap dance,,
play songs for a twerking workout,,,,,,,,,,,twerking workout,,
play songs for a power workout,,,,,,,,,,,power workout,,
what are some good marathon training songs,,,,,,,,,,,marathon training,,
what are some good weekend brunch songs,,,,,,,,,,,weekend brunch,,
what are some good training songs,,,,,,,,,,,training,,
what are some good songs for focusing,,,,,,,,,,,focusing,,
what are some great christmas songs,,,,,,,,,,,christmas,,
what songs are good for a party,,,,,,,,,,,party,,
play songs for a date night,,,,,,,,,,,date night,,
play yoga music,,,,,,,,,,,yoga,,
play meditation music,,,,,,,,,,,meditation,,
play grammy award nominees,,,,,,,,,,,grammy award nominees,,
play music from coachella,,,,,,,,,,,coachella,,
play music from warped tour,,,,,,,,,,,warped tour,,
play songs from coachella,,,,,,,,,,,coachella,,
play songs from warped tour,,,,,,,,,,,warped tour,,
play songs from the AMAs,,,,,,,,,,,AMAs,,
play the best songs to twerk to,,,,,,,,,,,twerk,,
play some music for the weekend,,,,,,,,,,,weekend,,
play some weekend music,,,,,,,,,,,weekend,,
play music to help me focus ,,,,,,,,,,,focus,,
play weekend music,,,,,,,,,,,weekend,,
play music to start the weekend,,,,,,,,,,,weekend,,
play music for the weekend,,,,,,,,,,,weekend,,
play music to kick off the weekend,,,,,,,,,,,weekend,,
put on some breakup songs,,,,,,,,,,,breakup,,
do you have any sad breakup songs,,,,,,,,,,,breakup,,
play break up music,,,,,,,,,,,break up,,
play music to break up with someone,,,,,,,,,,,break up,,
what guilty pleasure songs do you know,,,,,,,,,,,guilty pleasure,,
what's some good rainy day songs,,,,,,,,,,,rainy day,,
play me a lullaby,,,,,,,,,,,lullaby,,
play hot summer songs,,,,,,,,,,,summer,,
play songs for the summer,,,,,,,,,,,summer,,
play winter songs,,,,,,,,,,,winter,,
play autumn songs,,,,,,,,,,,autumn,,
play some girl power music,,,,,,,,,,,girl power,,
play some diva music,,,,,,,,,,,diva,,
play girl power jams,,,,,,,,,,,girl power,,
play some guilty pleasures,,,,,,,,,,,guilty pleasures,,
play a morning mix,,,,,,,,,,,morning ,,
play some morning music,,,,,,,,,,,morning,,
play guilty pleasures ,,,,,,,,,,,guilty pleasures,,
play music to zone out to,,,,,,,,,,,zone out,,
play music for rainy days,,,,,,,,,,,rainy days,,
play rainy day songs,,,,,,,,,,,rainy day,,
play deep focus songs,,,,,,,,,,,focus,,
play women's empowerment music,,,,,,,,,,,women's empowerment,,
play a black lives matter playlist,,,,,,,,,,,black lives matter,,
play famous protest music,,,,,,,,,,,protest,,
play protest music,,,,,,,,,,,protest,,
play music for a protest,,,,,,,,,,,protest,,
play activist music,,,,,,,,,,,activist,,
play music for activism,,,,,,,,,,,activism,,
I feel like some twerking music,,,,,,,,,,,twerking,,
I feel like some party music,,,,,,,,,,,party,,
what kind of classical music do you have,,,,,,,,classical,,,,,
what edm songs do you have,,,,,,,,edm,,,,,
spin some edm beats,,,,,,,,edm,,,,,
spin some electronica,,,,,,,,electonica,,,,,
Do you have metal songs?,,,,,,,,metal,,,,,
i wanna hear some slow jams,,,,,,,,slow jams,,,,,
i'd like to hear pop hits,,,,,,,,pop,,,,,
i want to hear some pop hits,,,,,,,,pop,,,,,
what pop punk songs do you have,,,,,,,,pop punk,,,,,
i need to hear some r&b,,,,,,,,r&b,,,,,
what are some good reggae songs,,,,,,,,reggae,,,,,
have you got any soca music,,,,,,,,soca,,,,,
i wanna hear west coast rap,,,,,,,,west coast rap,,,,,
give me some soca beats,,,,,,,,soca,,,,,
give me some trap hits,,,,,,,,trap,,,,,
play some slow jams,,,,,,,,slow jams,,,,,
put on a slow jam,,,,,,,,slow jam,,,,,
play me some slow jams,,,,,,,,slow jams,,,,,
can you play slow jams,,,,,,,,slow jams,,,,,
I'd like to hear some slow jams,,,,,,,,slow jams,,,,,
put on the slow jams,,,,,,,,slow jams,,,,,
you got any slow jams,,,,,,,,slow jams,,,,,
do you have any slow jams,,,,,,,,slow jams,,,,,
I'm in the mood for slow jams,,,,,,,,slow jams,,,,,
I am in the mood for some slow jams,,,,,,,,slow jams,,,,,
I'm feeling like some hip-hop,,,,,,,,hip-hop,,,,,
I'm feeling like some r&b music,,,,,,,,r&b,,,,,
I feel like some country music,,,,,,,,country,,,,,
I am feeling country music right now,,,,,,,,country,,,,,
I want to hear heavy metal hits,,,,,,,,heavy metal,,,,,
I want a southern crunk mix,,,,,,,,southern crunk,,,,,
do you know any disco music,,,,,,,,disco,,,,,
do you have any progressive rock,,,,,,,,progressive rock,,,,,
what bounce songs are good,,,,,,,,bounce,,,,,
what edm songs are good,,,,,,,,edm,,,,,
what are some good indie songs,,,,,,,,indie,,,,,
play christian music,,,,,,,,christian,,,,,
play gospel songs,,,,,,,,gospel,,,,,
play christian rock,,,,,,,,christian rock,,,,,
play showtunes,,,,,,,,showtunes,,,,,
play some show tunes,,,,,,,,show tunes,,,,,
play some showtunes,,,,,,,,showtunes,,,,,
I wanna hear showtunes,,,,,,,,showtunes,,,,,
I wanna hear some jazz greats,,,,,,,,jazz,,,,,
I'd like some jazz music please,,,,,,,,jazz,,,,,
play some jazz legends,,,,,,,,jazz,,,,,
I feel like some slow jams,,,,,,,,slow jams,,,,,
I feel like listening to rap,,,,,,,,rap,,,,,
I'm feeling some hip-hop music,,,,,,,,hip-hop,,,,,
I feel like some hip-hop,,,,,,,,hip-hop,,,,,
I'm feeling like some edm beats,,,,,,,,edm,,,,,
i feel like listening to something upbeat,,,,,,,,,upbeat,,,,
i need some relaxing music,,,,,,,,,relaxing,,,,
i need something calm to listen to,,,,,,,,,calm,,,,
i want to listen to something kind of mellow,,,,,,,,,mellow,,,,
can we hear some happy music,,,,,,,,,happy,,,,
i need some chill music,,,,,,,,,chill,,,,
I need music to relax to,,,,,,,,,relax,,,,
I need to chill out with some music,,,,,,,,,chill,,,,
play music to relax,,,,,,,,,relax,,,,
play music to chill,,,,,,,,,chill,,,,
play music to chill to,,,,,,,,,chill,,,,
play some chill tunes,,,,,,,,,chill,,,,
play me something chill,,,,,,,,,chill,,,,
put on something chill,,,,,,,,,chill,,,,
play something soothing,,,,,,,,,soothing,,,,
play soothing music,,,,,,,,,soothing,,,,
put on soothing songs,,,,,,,,,soothing,,,,
put on soothing sounds,,,,,,,,,soothing,,,,
put on soothing music,,,,,,,,,soothing,,,,
put on some chill beats,,,,,,,,,chill,,,,
let's hear some chill beats,,,,,,,,,chill,,,,
let's hear some sad tunes,,,,,,,,,sad,,,,
what are some depressing songs,,,,,,,,,depressing,,,,
what does depressing music sound like,,,,,,,,,depressing,,,,
put on something upbeat,,,,,,,,,upbeat,,,,
play something happy for us,,,,,,,,,happy,,,,
play a sad song,,,,,,,,,sad,,,,
play some sad music,,,,,,,,,sad,,,,
what does SZA sound like,,,,,SZA,,,,,,,,
what does boogie down productions sound like,,,,,boogie down productions,,,,,,,,
what does usher's music sound like,,,,,usher,,,,,,,,
what does adele's songs sound like,,,,,adele,,,,,,,,
what does jessie j's songs sound like,,,,,jessie j,,,,,,,,
what does cher lloyd sound like,,,,,cher lloyd,,,,,,,,
what do the black eyed peas sound like,,,,,black eyed peas,,,,,,,,
what does east coast rap sound like,,,,,,,,east coast rap,,,,,
what does country music sound like,,,,,,,,country,,,,,
how does neo-soul music sound?,,,,,,,,neo-soul,,,,,
what does bounce music sound like,,,,,,,,bounce,,,,,
what's the sound of crunk music,,,,,,,,crunk,,,,,
play more like this,,,,,,,,,,,,,like
play more songs like this,,,,,,,,,,,,,like
play some more like this,,,,,,,,,,,,,like
play more tracks like this,,,,,,,,,,,,,like
play more music like this,,,,,,,,,,,,,like
can you play more music like this,,,,,,,,,,,,,like
put on more songs like this,,,,,,,,,,,,,like
play more stuff like this,,,,,,,,,,,,,like
keep playing songs like this,,,,,,,,,,,,,like
play stuff that sounds like this,,,,,,,,,,,,,like
i want to hear more artists like this,,,,,,,,,,,,,like
play something else like this,,,,,,,,,,,,,like
put on more music like this,,,,,,,,,,,,,like
can you play more songs like this one,,,,,,,,,,,,,like
play more songs like this one,,,,,,,,,,,,,like
play more tracks like this one,,,,,,,,,,,,,like
play more related tracks,,,,,,,,,,,,,related
put on related artists,,,,,,,,,,,,,related
play more related artists,,,,,,,,,,,,,related
I'd like to hear related artists,,,,,,,,,,,,,related
I want to hear some related artists,,,,,,,,,,,,,related
play more music reminiscent of this artist,,,,,,,,,,,,,reminiscent
play more songs reminiscent of this track,,,,,,,,,,,,,reminiscent
play songs that resemble this,,,,,,,,,,,,,resemble
keep playing songs that resemble this track,,,,,,,,,,,,,resemble
play more songs that resemble this song,,,,,,,,,,,,,resemble
play more music that resembles this artist,,,,,,,,,,,,,resembles
can you keep playing songs resembling this one,,,,,,,,,,,,,resembling
play same sounding music,,,,,,,,,,,,,same
play more songs that have the same sound,,,,,,,,,,,,,same
play something similar,,,,,,,,,,,,,similar
play some similar stuff,,,,,,,,,,,,,similar
play similar songs,,,,,,,,,,,,,similar
play similar artists,,,,,,,,,,,,,similar
play similar tracks,,,,,,,,,,,,,similar
what songs are similar,,,,,,,,,,,,,similar
what are some similar songs,,,,,,,,,,,,,similar
let's hear some similar artists,,,,,,,,,,,,,similar
play similar sounding artists,,,,,,,,,,,,,similar
play similar sounding tracks,,,,,,,,,,,,,similar
play similar sounding songs,,,,,,,,,,,,,similar
keep playing similar sounding artists,,,,,,,,,,,,,similar
keep playing similar artists,,,,,,,,,,,,,similar
keep playing similar songs,,,,,,,,,,,,,similar
i want to hear similar artists,,,,,,,,,,,,,similar
play similar tracks to this one,,,,,,,,,,,,,similar
play similar song,,,,,,,,,,,,,similar
play some similar song,,,,,,,,,,,,,similar
play a similar artist,,,,,,,,,,,,,similar
play similar artist,,,,,,,,,,,,,similar
play a similar artists ,,,,,,,,,,,,,similar
play me something similar to this,,,,,,,,,,,,,similar
play something like this,,,,,,,,,,,,,like
play more like this song,,,,,,,,,,,,,like
play some more songs like this,,,,,,,,,,,,,like
play more songs like this,,,,,,,,,,,,,like
play more like this track,,,,,,,,,,,,,like
put on similar tracks,,,,,,,,,,,,,similar
put on similar artists,,,,,,,,,,,,,similar
play more like this,,,,,,,,,,,,,like
play more music like this artist,,,,,,,,,,,,,like
play some similar artists,,,,,,,,,,,,,similar
throw it back to 1980,,,,,,,1980,,,,,,
throwback to 1977,,,,,,,1977,,,,,,
I want to hear 90s throwbacks,,,,,,,90s,,,,,,
Play some throwback music from 1960,,,,,,,1960,,,,,,
Play throwback songs from 2014,,,,,,,2014,,,,,,
Put on throwbacks from 1999,,,,,,,1999,,,,,,
