emailShow,emailContactDate,emailContact,emailDate,emailKeyword,emailSubject,emailCategory,emailUnread,emailLatest
find an email subject qualcomm donation sender greg bybee,,greg bybee,,,qualcomm donation,,,
find email subject is tommy's birthday sender is mom,,mom,,,tommy's birthday,,,
search emails for subject insurance sent by my doctor,,my doctor,,,insurance,,,
read me emails from Mike about work from yesterday,,Mike,yesterday,work,,,,
read me the email from Chris Wentz on april 1st about the meeting tomorrow.,,Chris Wentz,april 1st,meeting tomorrow,,,,
find email sent by conrad jones on Wednesday with the subject line ERP,,conrad jones,Wednesday,,ERP,,,
read emails from Karen Walker Jones about the workshop sent on January 30,,Karen Walker Jones,January 30,the workshop,,,,
did I get any emails from john alan smith today about universal studios,,john alan smith,today,universal studios,,,,
I would like to see the email sent this morning from Bob Kohl about the meeting with dell,,Bob Kohl,this morning,meeting with dell,,,,
show emails from trevor jones sent today subject on leave,,trevor jones,today,,on leave,,,
show email from trevor h jones sent today subject on leave,,trevor h jones,today,,on leave,,,
I want to see Jimmy's email messages about movie tickets from September 5,,Jimmy,September 5,movie tickets,,,,
read me Amanda Bear's email on May 24 about saturday's party,,Amanda Bear,May 24,saturday's party,,,,
read today's email from john denver about interview for job,,john denver,today,interview for job,,,,
didn't martin keen send me an email yesterday about the TPS reports,,martin keen,yesterday,TPS reports,,,,
Pull up emails from my boss about project 2 from yesterday,,boss,yesterday,project 2,,,,
find emails from yolanda ross sent on Monday with subject salary requirements,,yolanda ross,Monday,,salary requirements,,,
read the email that mark price sent on January 5 about the tax breaks,,mark price,January 5,tax breaks,,,,
what email did mom send me in august about the rental van fees,,mom,august,rental van fees,,,,
read me e-mails from Dad sent on Sunday with subject Summer Vacation Plans,,Dad,Sunday,,Summer Vacation Plans,,,
show emails from phil carter about the music video shoot that he sent in january,,phil carter,january,music video shoot,,,,
find all emails about the election sent by obama in november,,obama,november,election,,,,
read emails sent last week from tyrone hawkins about the LEGO kits,,tyrone hawkins,last week,LEGO kits,,,,
read me emails from Jeff hu with the subject dinner received on Friday,,Jeff hu,Friday,,dinner,,,
find emails sent by michael kurinsky last week about compton robotics,,michael kurinsky,last week,compton robotics,,,,
search for an email from eugene smith on october 1 subject roses,,eugene smith,october 1,,roses,,,
find emails with subject trans4m planning sent by tatiana last week,,tatiana,last week,,trans4m planning,,,
look up emails from Monday from ken walker with subject urgent,,ken walker,Monday,,urgent,,,
read the email that deepika sent last week about the nlu changes,,deepika,last week,nlu changes,,,,
find the message from John Connor on sunday related to increase in sales.,,John Connor,sunday,increase in sales,,,,
read the Monday e-mail from harry yin subject line purchases,,harry yin,Monday,,purchases,,,
pull up the email from yossi from last week about the wrapper changes,,yossi,last week,wrapper changes,,,,
please show me the email from duncan burns about UX design sent on Friday evening,,duncan burns,Friday evening,UX design,,,,
find email from Sarah about the product launch email campaign sent last week,,Sarah,last week,product launch email campaign,,,,
search my emails for the one from joanna gomez about the district elections that she sent last Sunday,,joanna gomez,last Sunday,district elections,,,,
find emails containing the subject salary negotiation sent on Tuesday from Amanda baker,,Amanda baker,Tuesday,,salary negotiation,,,
find all emails with subject line thank you sent by JJ last month,,JJ,last month,,thank you,,,
pull up the message from keyinde about the summer barbeque that she sent on july 4,,keyinde,july 4,summer barbeque,,,,
read me emails received on Monday from warren wu with subject dinner club,,warren wu,Monday,,dinner club,,,
find the email from expedia about the houston trip from last week,,expedia,last week,houston trip,,,,
pull up the email from zarina guerrero about plane tickets from april,,zarina guerrero,april,plane tickets,,,,
can you find emails with subject quality review board from last month sent by brian king,,brian king,last month,,quality review board,,,
look through emails for subject line all hands meeting sent Friday from David Gray,,David Gray,Friday,,all hands meeting,,,
open emails from regina king on the subject hbo deal received last week,,regina king,last week,,hbo deal,,,
open emails from Monday that mention sprint planning from Kyle Douglas,,Kyle Douglas,Monday,sprint planning,,,,
Find emails sent by dylan mentioning burning man from Saturday,,dylan,Saturday,burning man,,,,
open emails from jackie perez mentioning the trade show from December 5,,jackie perez,December 5,trade show,,,,
find the sprint planning email from duncan sent last week,,duncan,last week,sprint planning,,,,
look for Yossi's email about wrapper issues that he sent on Sunday,,Yossi,Sunday,wrapper issues,,,,
did mary send me an email yesterday about hotel bookings,,mary,yesterday,hotel bookings,,,,
did tammy send me an email today about travel to new hampshire,,tammy,today,travel to new hampshire,,,,
read yesterday's email from jon hertz about carnivale,,jon hertz,yesterday,carnivale,,,,
read the email I got this week from anna woo regarding time share in bahamas,,anna woo,this week,time share in bahamas,,,,
read the email about maternity leave from pooja sent last week,,pooja,last week,maternity leave,,,,
can you read the emails from will adams mentioning music issues sent last month,,will adams,last month,music issues,,,,
pull up my emails from caroline about the team registration system from Monday,,caroline,Monday,team registration system,,,,
find emails from experient that I received last week about hotels,,experient,last week,hotels,,,,
find emails from e-trade received last week mentioning margin call,,e-trade,last week,margin call,,,,
find lillian shu's email about fashion show from last month,,lillian shu,last month,fashion show,,,,
search for jan levy's email about the deposition from Tuesday,,jan levy,Tuesday,deposition,,,,
find emails from betty levine regarding expenses sent last month,,betty levine,last month,expenses,,,,
pull up the email that polo sent me about the china concert from last Wednesday,,polo,last Wednesday,china concert,,,,
show me emails that mention the LA marathon sent from coach douglas last week,,coach douglas,last week,LA marathon,,,,
search emails from johnny byers-smith about the voice auditions from last month,,johnny byers-smith,last month,voice auditions,,,,
read hannah bryant's email about babysitting from yesterday,,hannah bryant,yesterday,babysitting,,,,
find grover lee's email yesterday with the subject getty museum,,grover lee,yesterday,,getty museum,,,
find the email from the broad museum with subject tickets sent last month,,broad museum,last month,,tickets,,,
show me the email from alyssa markus that mentions the chicago conference I got in december,,alyssa markus,december,chicago conference,,,,
read only my new ones,,,,,,,,new
read my new emails,,,,,,,,new
read the new ones,,,,,,,,new
read the new emails,,,,,,,,new
show me my newest emails,,,,,,,,newest
read out my new emails,,,,,,,,new
go over my new emails,,,,,,,,new
can you read my new emails,,,,,,,,new
open my new emails,,,,,,,,new
start reading my recent emails,,,,,,,,recent
let's read the most recent one,,,,,,,,recent
tell me the most recent emails,,,,,,,,recent
tell me the new ones,,,,,,,,new
can you read the new ones,,,,,,,,new
could you read the latest emails,,,,,,,,latest
read me the latest ones,,,,,,,,latest
read back my latest emails,,,,,,,,latest
can you read my new emails,,,,,,,,new
could you read the new ones only,,,,,,,,new
read my latest emails,,,,,,,,latest
go over my latest emails,,,,,,,,latest
show me my latest emails,,,,,,,,latest
let's hear the latest emails,,,,,,,,latest
read all my new emails,,,,,,,,new
open my latest emails,,,,,,,,latest
read my unread emails,,,,,,,unread,
open my unread emails,,,,,,,unread,
what are my missed emails,,,,,,,missed,
do I have unread mails,,,,,,,unread,
do I have any unread emails,,,,,,,unread,
I want to hear my unread emails,,,,,,,unread,
pull up my unread emails,,,,,,,unread,
what emails have I missed,,,,,,,missed,
what emails did I miss,,,,,,,miss,
what emails are unread,,,,,,,unread,
show unread emails,,,,,,,unread,
show my unopened emails,,,,,,,unopened,
what are my missed emails,,,,,,,missed,
show my missed emails,,,,,,,missed,
pull up my unread emails,,,,,,,unread,
show me my unread emails,,,,,,,unread,
what emails did I miss,,,,,,,miss,
read only my important ones,,,,,,important,,
read my important emails,,,,,,important,,
read the important ones,,,,,,important,,
read the important emails,,,,,,important,,
show me the important ones,,,,,,important,,
show my important emails,,,,,,important,,
go over my urgent emails,,,,,,urgent,,
can you read my urgent emails,,,,,,urgent,,
which emails are urgent,,,,,,urgent,,
which emails are the most urgent,,,,,,urgent,,
which ones are urgent,,,,,,urgent,,
tell me the urgent emails,,,,,,urgent,,
tell me the urgent ones,,,,,,urgent,,
can you read the urgent ones,,,,,,urgent,,
could you read the critical emails,,,,,,critical,,
read me the critical ones,,,,,,critical,,
can you read only the critical ones,,,,,,critical,,
just tell me the critical ones,,,,,,critical,,
what are the critical ones about,,,,,,critical,,
what are the critical emails about,,,,,,critical,,
what's the critical emails,,,,,,critical,,
show me the critical emails,,,,,,critical,,
read the critical ones,,,,,,critical,,
pull up the critical emails,,,,,,critical,,
read all my critical mails,,,,,,critical,,
read my urgent mails,,,,,,urgent,,
read my urgent mails,,,,,,urgent,,
read my emails,,,,,,,,
read all my emails,,,,,,,,
read emails,,,,,,,,
read out my emails,,,,,,,,
show all my emails,,,,,,,,
read me my emails,,,,,,,,
read all emails,,,,,,,,
open my inbox,,,,,,,,
open my email inbox,,,,,,,,
what's in my email inbox,,,,,,,,
read out all my emails,,,,,,,,
please read all my emails,,,,,,,,
start reading my emails,,,,,,,,
start reading my inbox,,,,,,,,
get all my emails,,,,,,,,
read all my emails,,,,,,,,
find all my emails,,,,,,,,
tell me my emails,,,,,,,,
get my emails,,,,,,,,
read my mails,,,,,,,,
read my email,,,,,,,,
read all the emails,,,,,,,,
can you read all the emails,,,,,,,,
read all the emails,,,,,,,,
read every email,,,,,,,,
read out every email,,,,,,,,
show emails about knowledge transfer session,,,,knowledge transfer session,,,,
show emails about data transfer session from yesterday by hannah bryant,,hannah bryant,yesterday,data transfer session,,,,
Show me unread emails,,,,,,,unread,
Show me emails on last monday,,,last monday,,,,,
show emails with subject test,,,,,test,,,
what are my new emails,,,,,,,new emails,
Read my email,,,,,,,,
Do I have any emails about the camping trip,,,,camping trip,,,,
find emails about IOS,,,,IOS,,,,
Show me emails on December 25th,,,December 25th,,,,,
Show me emails on 25 December,,,25 December,,,,,
Show me emails on January 2017,,,January 2017,,,,,
Show me emails on last 5 hours,,,last 5 hours,,,,,
do i have any new emails,,,,,,,,new
do i have any emails,,,,,,,,
show my emails,,,,,,,,
show my inbox,,,,,,,,
show me my inbox,,,,,,,,
show me my emails,,,,,,,,
check my emails,,,,,,,,
Read my new mails,,,,,,,,new
Do I have any emails about the camping trip?,,,,the camping trip,,,,
Do I have any new email?,,,,,,,,new
